"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2008"	"2008"	41	175827	23.3
	"Baldwin County, AL"	"01003"	"2009"	"2009"	39	179406	21.7
	"Baldwin County, AL"	"01003"	"2010"	"2010"	44	182265	24.1
	"Baldwin County, AL"	"01003"	"2011"	"2011"	41	186717	22.0
	"Baldwin County, AL"	"01003"	"2012"	"2012"	55	190790	28.8
	"Baldwin County, AL"	"01003"	"2013"	"2013"	39	195540	19.9
	"Blount County, AL"	"01009"	"2008"	"2008"	23	57055	40.3
	"Blount County, AL"	"01009"	"2009"	"2009"	11	57341	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	11	57322	Unreliable
	"Blount County, AL"	"01009"	"2011"	"2011"	14	57677	Unreliable
	"Blount County, AL"	"01009"	"2012"	"2012"	21	57826	36.3
	"Blount County, AL"	"01009"	"2013"	"2013"	14	57872	Unreliable
	"Calhoun County, AL"	"01015"	"2008"	"2008"	23	117274	19.6
	"Calhoun County, AL"	"01015"	"2009"	"2009"	25	118363	21.1
	"Calhoun County, AL"	"01015"	"2010"	"2010"	26	118572	21.9
	"Calhoun County, AL"	"01015"	"2011"	"2011"	19	117797	Unreliable
	"Calhoun County, AL"	"01015"	"2012"	"2012"	15	117296	Unreliable
	"Calhoun County, AL"	"01015"	"2013"	"2013"	14	116736	Unreliable
	"Cherokee County, AL"	"01019"	"2012"	"2012"	11	26021	Unreliable
	"Chilton County, AL"	"01021"	"2009"	"2009"	14	43484	Unreliable
	"Chilton County, AL"	"01021"	"2010"	"2010"	13	43643	Unreliable
	"Cullman County, AL"	"01043"	"2008"	"2008"	16	80273	Unreliable
	"Cullman County, AL"	"01043"	"2009"	"2009"	10	80351	Unreliable
	"Cullman County, AL"	"01043"	"2011"	"2011"	16	80536	Unreliable
	"Cullman County, AL"	"01043"	"2012"	"2012"	19	80440	Unreliable
	"Cullman County, AL"	"01043"	"2013"	"2013"	23	80811	28.5
	"DeKalb County, AL"	"01049"	"2008"	"2008"	15	70228	Unreliable
	"DeKalb County, AL"	"01049"	"2009"	"2009"	17	70864	Unreliable
	"DeKalb County, AL"	"01049"	"2010"	"2010"	14	71109	Unreliable
	"DeKalb County, AL"	"01049"	"2011"	"2011"	15	71375	Unreliable
	"DeKalb County, AL"	"01049"	"2012"	"2012"	19	71080	Unreliable
	"DeKalb County, AL"	"01049"	"2013"	"2013"	25	71013	35.2
	"Elmore County, AL"	"01051"	"2008"	"2008"	11	77698	Unreliable
