"Year","State FIPS","County FIPS","State_county FIPS","County name","Total","White","Black","Hispanic origin","American Indian or Alaskan Native","Asian or Pacific islander","Race N/A","Men","Women","Gender N/A","Under30","30-44","45-54","55plus","Age N/A"
"1999","01","001","01001","Autauga, Alabama",48,28,20,0,0,0,0,16,32,0,8,18,15,7,0
"1999","01","003","01003","Baldwin, Alabama",184,146,37,1,0,0,0,127,57,0,37,83,46,18,0
"1999","01","005","01005","Barbour, Alabama",19,6,13,0,0,0,0,7,12,0,3,3,8,5,0
"1999","01","007","01007","Bibb, Alabama",60,41,19,0,0,0,0,42,18,0,8,21,24,7,0
"1999","01","009","01009","Blount, Alabama",44,44,0,0,0,0,0,34,10,0,6,22,13,3,0
"1999","01","011","01011","Bullock, Alabama",23,0,23,0,0,0,0,3,20,0,6,12,3,2,0
"1999","01","013","01013","Butler, Alabama",365,99,266,0,0,0,0,118,247,0,103,147,86,29,0
"1999","01","015","01015","Calhoun, Alabama",248,163,80,0,0,5,0,115,133,0,37,103,73,35,0
"1999","01","017","01017","Chambers, Alabama",98,53,45,0,0,0,0,51,47,0,22,43,23,10,0
"1999","01","019","01019","Cherokee, Alabama",41,30,11,0,0,0,0,25,16,0,1,17,18,5,0
"1999","01","021","01021","Chilton, Alabama",56,45,11,0,0,0,0,33,23,0,5,18,20,13,0
"1999","01","023","01023","Choctaw, Alabama",28,12,16,0,0,0,0,18,10,0,6,11,8,3,0
"1999","01","025","01025","Clarke, Alabama",125,42,83,0,0,0,0,45,80,0,28,71,17,9,0
"1999","01","029","01029","Cleburne, Alabama",10,10,0,0,0,0,0,2,8,0,1,5,3,1,0
"1999","01","031","01031","Coffee, Alabama",230,157,63,4,0,6,0,12,218,0,21,92,48,69,0
"1999","01","033","01033","Colbert, Alabama",253,218,33,1,0,0,1,199,54,0,40,103,73,37,0
"1999","01","035","01035","Conecuh, Alabama",50,20,30,0,0,0,0,28,22,0,11,27,9,3,0
"1999","01","039","01039","Covington, Alabama",232,194,36,2,0,0,0,95,137,0,53,89,48,42,0
"1999","01","041","01041","Crenshaw, Alabama",64,43,21,0,0,0,0,25,39,0,16,26,15,7,0
"1999","01","043","01043","Cullman, Alabama",315,309,5,1,0,0,0,76,239,0,46,112,86,71,0
"1999","01","045","01045","Dale, Alabama",54,29,18,2,0,5,0,17,37,0,4,24,19,7,0
